date,name,direction,entry_time,typ,long,short,debit,hold_val,contracts,pnl,equity_after,or_high,or_low,events,settle
2021-07-09,a_held,long,10:29,call,4340.0,4365.0,15.549999999999999,25.0,1,94.4,10094.4,4333.5,4324.45,A_up@10:28,4370.221
2021-07-12,a_held,long,10:38,call,4365.0,4390.0,15.200000000000001,21.287599999999657,1,60.78,10155.18,4356.6,4350.4,A_up@10:37,4386.2876
2021-07-16,a_held,short,10:19,put,4340.0,4315.0,2.65,12.458999999999833,11,1077.89,11233.07,4359.6,4352.5,A_down@10:18,4327.541
2021-07-19,a_held,short,10:02,put,4235.0,4210.0,6.1,0.0,5,-305.5,10927.57,4266.95,4254.7,A_down@10:01,4259.7656
2021-07-23,a_held,long,11:02,call,4385.0,4410.0,13.35,25.0,2,232.8,11160.37,4374.8,4370.1,A_up@11:01,4411.5083
2021-08-18,a_held,long,10:21,call,4445.0,4470.0,10.1,0.0,3,-303.3,10857.07,4434.1,4428.0,A_up@10:20|B@14:13|failed_C_down@14:18|C_down@15:36,4398.9175
2021-08-25,a_held,long,11:51,call,4490.0,4515.0,9.4,6.471700000000055,3,-88.15,10768.92,4481.2,4478.1,A_up@11:50,4496.4717
2021-08-30,a_held,long,10:33,call,4520.0,4545.0,10.05,7.991699999999582,3,-62.05,10706.87,4512.2,4507.6,A_up@10:32,4527.9917
2021-09-10,a_held,short,10:11,put,4490.0,4465.0,5.9,25.0,5,954.5,11661.37,4514.2,4502.5,A_down@10:10,4459.3027
2021-09-13,a_held,short,10:14,put,4455.0,4430.0,5.5,0.0,6,-330.6,11330.77,4487.8,4470.0,A_down@10:13,4469.6025
2021-10-01,a_held,short,10:24,put,4275.0,4250.0,6.0,0.0,5,-300.5,11030.27,4314.5,4292.7,A_down@10:23|B@11:38|failed_C_up@13:26|C_up@13:39,4354.8467
2021-10-11,a_held,long,10:02,call,4395.0,4420.0,13.999999999999998,0.0,2,-280.2,10750.07,4382.2,4370.5,A_up@10:01|B@13:22|failed_C_down@13:49|C_down@15:35,4361.1504
2021-10-15,a_held,long,10:15,call,4455.0,4480.0,13.7,17.204600000000028,2,69.89,10819.96,4446.4,4441.3,A_up@10:14,4472.2046
2021-11-15,a_held,short,11:51,put,4665.0,4640.0,2.7,0.0,11,-298.1,10521.86,4686.5,4681.6,A_down@11:50,4683.847
2021-12-03,a_held,short,09:59,put,4555.0,4530.0,8.6,15.389000000000124,3,203.37,10725.23,4601.5,4575.7,A_down@09:58,4539.611
2021-12-06,a_held,long,10:22,call,4580.0,4605.0,12.299999999999999,11.685999999999694,2,-12.48,10712.75,4566.2,4536.9,A_up@10:21,4591.686
2021-12-13,a_held,short,10:33,put,4675.0,4650.0,6.6,5.61869999999999,4,-39.65,10673.1,4702.4,4692.5,A_down@10:32,4669.3813
2021-12-27,a_held,long,10:30,call,4745.0,4770.0,18.0,25.0,1,69.9,10743.0,4732.4,4725.6,A_up@10:29,4794.2197
2022-01-03,a_held,short,09:56,put,4750.0,4725.0,3.6000000000000005,0.0,8,-288.8,10454.2,4775.3,4764.6,A_down@09:55|B@14:44,4797.5786
2022-01-10,a_held,short,10:02,put,4590.0,4565.0,6.199999999999999,0.0,5,-310.5,10143.7,4627.3,4607.5,A_down@10:01|B@14:07|failed_C_up@15:48|C_up@15:57,4672.3926
2022-01-19,a_held,short,10:33,put,4560.0,4535.0,5.699999999999999,25.0,5,964.5,11108.2,4593.4,4579.1,A_down@10:32,4533.023
2022-01-28,a_held,long,11:19,call,4350.0,4375.0,14.3,25.0,2,213.8,11322.0,4330.5,4286.2,A_up@11:18,4430.8403
2022-01-31,a_held,long,10:08,call,4440.0,4465.0,14.399999999999999,25.0,2,211.8,11533.8,4423.6,4400.4,A_up@10:07,4511.497
2022-02-18,a_held,short,11:10,put,4340.0,4315.0,8.0,0.0,4,-320.4,11213.4,4377.5,4360.4,A_down@11:09,4347.7515
2022-02-22,a_held,long,09:56,call,4350.0,4375.0,13.099999999999998,0.0,2,-262.2,10951.2,4326.7,4307.6,A_up@09:55|B@11:54|C_down@12:54,4303.674
2022-02-28,a_held,long,10:47,call,4355.0,4380.0,12.8,15.720999999999549,2,58.22,11009.42,4339.5,4325.8,A_up@10:46|B@14:04|failed_C_down@14:15|C_down@14:31|D@15:21,4370.721
2022-03-02,a_held,long,10:45,call,4350.0,4375.0,12.000000000000002,25.0,2,259.8,11269.22,4338.4,4319.9,A_up@10:44,4384.235
2022-03-11,a_held,short,10:09,put,4260.0,4235.0,8.499999999999998,25.0,3,494.7,11763.92,4286.5,4274.0,A_down@10:08,4202.4844
2022-03-14,a_held,long,10:20,call,4225.0,4250.0,12.1,0.0,2,-242.2,11521.72,4217.7,4194.2,A_up@10:19|B@12:09|C_down@13:00,4172.592
2022-03-18,a_held,long,10:10,call,4400.0,4425.0,15.7,9.350000000000364,2,-127.2,11394.52,4384.9,4375.7,A_up@10:09,4409.35
2022-03-28,a_held,short,11:55,put,4505.0,4480.0,3.3,0.0,10,-331.0,11063.52,4527.4,4519.1,A_down@11:54|B@14:10|C_up@14:58,4576.0137
2022-04-01,a_held,short,10:29,put,4510.0,4485.0,5.25,0.0,6,-315.6,10747.92,4534.0,4523.5,A_down@10:28,4546.3223
2022-04-04,a_held,long,10:04,call,4545.0,4570.0,15.1,25.0,2,197.8,10945.72,4532.6,4523.7,A_up@10:03,4584.599
2022-04-08,a_held,long,11:04,call,4500.0,4525.0,14.8,0.0,2,-296.2,10649.52,4481.3,4464.6,A_up@11:03,4489.486
2022-04-22,a_held,short,10:30,put,4330.0,4305.0,6.5,25.0,4,739.6,11389.12,4370.4,4341.3,A_down@10:29,4271.316
2022-04-25,a_held,short,10:07,put,4210.0,4185.0,8.3,0.0,4,-332.4,11056.72,4235.0,4217.8,A_down@10:06|B@10:31|C_up@14:29,4296.646
2022-05-02,a_held,long,10:34,call,4155.0,4180.0,13.000000000000002,0.0,2,-260.2,10796.52,4128.5,4094.1,A_up@10:33|B@12:58|failed_C_down@13:05|C_down@13:41|D@15:30,4146.836
2022-05-13,a_held,long,10:02,call,3990.0,4015.0,13.0,24.4074999999998,2,227.95,11024.47,3975.9,3960.3,A_up@10:01,4014.4075
2022-05-17,a_held,short,10:38,put,4040.0,4015.0,8.0,0.0,4,-320.4,10704.07,4062.5,4053.6,A_down@10:37|B@12:37|failed_C_up@13:18|C_up@15:08,4091.2825
2022-05-20,a_held,short,10:16,put,3910.0,3885.0,8.899999999999999,10.861300000000028,3,58.54,10762.61,3935.7,3919.2,A_down@10:15,3899.1387
2022-05-24,a_held,short,10:10,put,3890.0,3865.0,8.500000000000002,0.0,3,-255.3,10507.31,3932.0,3914.4,A_down@10:09|B@15:35|failed_C_up@15:44,3949.5288
2022-05-26,a_held,long,10:01,call,4030.0,4055.0,11.700000000000001,19.978500000000167,2,165.37,10672.68,4014.3,3986.9,A_up@10:00,4049.9785
2022-05-27,a_held,long,10:00,call,4110.0,4135.0,11.500000000000002,25.0,2,269.8,10942.48,4099.8,4083.9,A_up@09:59,4162.193
2022-06-08,a_held,long,09:57,call,4155.0,4180.0,10.5,0.0,3,-315.3,10627.18,4141.5,4128.1,A_up@09:56|B@12:39|failed_C_down@12:47|C_down@13:36,4117.768
2022-06-13,a_held,short,10:20,put,3775.0,3750.0,10.3,22.16670000000022,3,355.7,10982.88,3816.7,3795.8,A_down@10:19,3752.8333
2022-06-17,a_held,short,10:29,put,3645.0,3620.0,8.8,0.0,3,-264.3,10718.58,3685.8,3662.4,A_down@10:28|B@13:12,3667.25
2022-06-22,a_held,long,10:02,call,3735.0,3760.0,14.099999999999998,25.0,2,217.8,10936.38,3722.7,3707.5,A_up@10:01,3764.2175
2022-06-24,a_held,long,10:09,call,3870.0,3895.0,14.7,25.0,2,205.8,11142.18,3834.0,3815.4,A_up@10:08,3906.5215
2022-07-06,a_held,short,11:11,put,3805.0,3780.0,7.2,0.0,4,-288.4,10853.78,3834.6,3816.2,A_down@11:10|B@14:32|failed_C_up@14:48|C_up@15:17,3849.3042
2022-07-12,a_held,short,10:09,put,3830.0,3805.0,6.299999999999999,11.689499999999953,5,268.97,11122.75,3859.5,3841.6,A_down@10:08,3818.3105
2022-07-20,a_held,long,10:38,call,3945.0,3970.0,12.999999999999998,10.479499999999916,2,-50.61,11072.14,3928.1,3917.4,A_up@10:37,3955.4795
2022-07-29,a_held,long,10:09,call,4100.0,4125.0,12.399999999999999,25.0,2,251.8,11323.94,4086.6,4068.8,A_up@10:08,4127.6836
2022-08-05,a_held,long,10:11,call,4130.0,4155.0,13.0,6.960000000000036,2,-121.0,11202.94,4116.5,4101.8,A_up@10:10,4136.96
2022-08-11,a_held,long,10:12,call,4240.0,4265.0,13.0,0.0,2,-260.2,10942.74,4229.55,4223.1,A_up@10:11|B@11:06|failed_C_down@11:20|C_down@14:11,4211.867
2022-08-15,a_held,long,10:02,call,4265.0,4290.0,12.6,25.0,2,247.8,11190.54,4256.0,4251.5,A_up@10:01,4292.549
2022-08-16,a_held,short,10:42,put,4270.0,4245.0,5.1,0.0,6,-306.6,10883.94,4285.8,4281.0,A_down@10:41|B@11:14|failed_C_up@11:32|C_up@11:54,4300.211
2022-08-17,a_held,short,11:50,put,4245.0,4220.0,6.15,0.0,5,-308.0,10575.94,4274.0,4260.6,A_down@11:49|B@14:02|failed_C_up@14:16|C_up@14:35,4278.1187
2022-08-22,a_held,short,10:29,put,4150.0,4125.0,6.9,7.457999999999629,4,21.92,10597.86,4171.6,4161.4,A_down@10:28,4142.542
2022-08-23,a_held,long,10:17,call,4155.0,4180.0,10.5,0.0,3,-315.3,10282.56,4138.9,4124.4,A_up@10:16|B@11:01,4126.8433
2022-08-25,a_held,long,10:03,call,4170.0,4195.0,10.399999999999999,22.2529999999997,2,236.86,10519.42,4149.6,4142.2,A_up@10:02,4192.253
2022-08-30,a_held,short,10:13,put,4000.0,3975.0,8.5,11.428499999999985,3,87.55,10606.98,4038.6,4024.6,A_down@10:12,3988.5715
2022-09-06,a_held,short,09:58,put,3910.0,3885.0,9.200000000000001,4.523999999999887,3,-140.58,10466.4,3939.2,3922.9,A_down@09:57,3905.476
2022-09-09,a_held,long,10:10,call,4050.0,4075.0,11.0,13.9067,2,57.93,10524.33,4036.8,4030.3,A_up@10:09,4063.9067
2022-09-15,a_held,long,09:58,call,3950.0,3975.0,9.7,0.0,3,-291.3,10233.03,3938.9,3923.5,A_up@09:57|B@10:50|failed_C_down@11:03|C_down@11:17|D@13:06,3906.1772
2022-09-26,a_held,long,10:23,call,3700.0,3725.0,13.599999999999998,0.0,2,-272.2,9960.83,3682.6,3668.7,A_up@10:22|B@11:19|failed_C_down@11:30|C_down@12:28,3652.0852
2022-09-29,a_held,short,10:09,put,3620.0,3595.0,7.6,0.0,3,-228.3,9732.53,3669.3,3633.4,A_down@10:08,3643.1917
2022-10-03,a_held,long,10:09,call,3635.0,3660.0,14.2,25.0,2,215.8,9948.33,3611.1,3593.1,A_up@10:08,3682.5945
2022-10-05,a_held,short,10:10,put,3720.0,3695.0,6.5,0.0,4,-260.4,9687.93,3749.5,3736.4,A_down@10:09|B@12:17|failed_C_up@12:51|C_up@13:13,3789.6838
2022-10-06,a_held,short,10:10,put,3745.0,3720.0,6.700000000000001,2.765600000000177,4,-157.78,9530.16,3785.3,3757.9,A_down@10:09,3742.2344
2022-10-25,a_held,long,09:55,call,3820.0,3845.0,13.700000000000001,18.85699999999997,2,102.94,9633.1,3800.2,3793.5,A_up@09:54,3838.857
2022-10-27,a_held,short,09:57,put,3805.0,3780.0,7.200000000000001,25.0,4,711.6,10344.7,3840.3,3828.3,A_down@09:56|B@10:15|failed_C_up@10:33,3772.2297
2022-10-28,a_held,long,10:34,call,3845.0,3870.0,12.7,25.0,2,245.8,10590.5,3828.7,3800.1,A_up@10:33,3905.2024
2022-11-01,a_held,short,09:54,put,3880.0,3855.0,6.6000000000000005,25.0,4,735.6,11326.1,3900.3,3894.5,A_down@09:53,3846.9988
2022-11-03,a_held,short,10:00,put,3690.0,3665.0,8.4,0.0,4,-336.4,10989.7,3720.9,3705.2,A_down@09:59|B@10:25|C_up@10:55,3721.715
2022-11-08,a_held,long,10:25,call,3820.0,3845.0,11.3,0.0,2,-226.2,10763.5,3806.6,3796.1,A_up@10:24|B@14:21|C_down@14:33|D@14:47,3818.913
2022-11-11,a_held,long,10:22,call,3975.0,4000.0,11.9,17.58640000000014,2,113.53,10877.02,3953.1,3938.9,A_up@10:21,3992.5864
2022-11-14,a_held,long,10:24,call,3985.0,4010.0,12.200000000000001,0.0,2,-244.2,10632.82,3976.9,3965.6,A_up@10:23|B@11:18,3968.3572
2022-11-18,a_held,short,10:11,put,3950.0,3925.0,8.4,0.0,3,-252.3,10380.52,3974.1,3960.35,A_down@10:10,3963.1184
2022-11-22,a_held,long,10:57,call,3975.0,4000.0,9.450000000000001,25.0,3,466.2,10846.72,3965.5,3953.3,A_up@10:56,4003.3381
2022-11-28,a_held,short,11:01,put,3990.0,3965.0,6.4,21.945000000000164,5,776.75,11623.47,4006.5,3996.5,A_down@11:00,3968.055
2022-11-29,a_held,short,11:17,put,3940.0,3915.0,6.300000000000001,0.0,5,-315.5,11307.97,3964.8,3957.1,A_down@11:16,3954.086
2022-12-01,a_held,short,10:20,put,4055.0,4030.0,7.6000000000000005,0.0,4,-304.4,11003.57,4090.4,4082.4,A_down@10:19,4075.7947
2022-12-05,a_held,short,10:09,put,4025.0,4000.0,7.449999999999999,25.0,4,701.6,11705.17,4048.2,4039.1,A_down@10:08,3999.1672
2022-12-06,a_held,short,10:07,put,3965.0,3940.0,8.5,23.791299999999865,4,611.25,12316.43,3998.1,3981.3,A_down@10:06,3941.2087
2022-12-15,a_held,short,10:05,put,3905.0,3880.0,9.899999999999999,13.100600000000213,3,95.72,12412.14,3949.7,3933.35,A_down@10:04,3891.8994
2022-12-16,a_held,short,10:16,put,3830.0,3805.0,5.799999999999999,0.0,6,-348.6,12063.54,3858.1,3848.0,A_down@10:15,3870.0
2022-12-23,a_held,long,10:39,call,3825.0,3850.0,13.8,19.514000000000124,2,114.08,12177.62,3810.1,3784.0,A_up@10:38,3844.514
2022-12-29,a_held,long,10:20,call,3830.0,3855.0,14.099999999999998,19.088000000000193,2,99.56,12277.18,3815.4,3793.2,A_up@10:19,3849.088
2023-01-04,a_held,short,10:14,put,3805.0,3780.0,6.6,0.0,5,-330.5,11946.68,3840.5,3820.5,A_down@10:13|B@11:30|C_up@11:43|D@14:25,3851.3958
2023-01-09,a_held,long,10:08,call,3920.0,3945.0,13.2,0.0,2,-264.2,11682.48,3907.7,3894.0,A_up@10:07|B@14:58|failed_C_down@15:18|C_down@15:33,3891.8494
2023-01-26,a_held,short,09:58,put,4010.0,3985.0,5.9,0.0,5,-295.5,11386.98,4037.9,4026.6,A_down@09:57|B@15:16|failed_C_up@16:00,4054.7185
2023-01-30,a_held,long,10:10,call,4050.0,4075.0,13.0,0.0,2,-260.2,11126.78,4038.0,4031.2,A_up@10:09|B@10:36|failed_C_down@10:48|C_down@13:04,4023.569
2023-02-06,a_held,short,10:37,put,4085.0,4060.0,4.949999999999999,0.0,6,-297.6,10829.18,4107.3,4095.4,A_down@10:36|B@11:18,4109.5938
2023-02-07,a_held,long,11:41,call,4105.0,4130.0,12.599999999999998,25.0,2,247.8,11076.98,4093.7,4085.9,A_up@11:40|B@13:32|failed_C_down@13:35,4154.1157
2023-02-15,a_held,long,11:51,call,4125.0,4150.0,11.2,24.92199999999957,2,274.24,11351.22,4114.0,4104.1,A_up@11:50,4149.922
2023-02-22,a_held,short,10:19,put,3980.0,3955.0,7.199999999999999,0.0,4,-288.4,11062.82,4001.5,3993.8,A_down@10:18|B@12:38|failed_C_up@14:07,3991.847
2023-02-23,a_held,short,10:55,put,3990.0,3965.0,6.15,0.0,5,-308.0,10754.82,4015.5,4008.7,A_down@10:54,4008.641
2023-02-27,a_held,long,10:12,call,4010.0,4035.0,10.9,0.0,2,-218.2,10536.62,3997.4,3992.7,A_up@10:11|B@10:40|failed_C_down@11:26|C_down@11:36,3984.4604
2023-03-06,a_held,long,10:23,call,4065.0,4090.0,10.0,0.0,3,-300.3,10236.32,4056.5,4048.5,A_up@10:22|B@13:55,4049.9155
2023-03-07,a_held,short,10:09,put,4010.0,3985.0,9.3,24.496000000000095,3,455.58,10691.9,4045.4,4041.4,A_down@10:08,3985.504
2023-03-10,a_held,long,11:30,call,3925.0,3950.0,9.8,0.0,3,-294.3,10397.6,3908.8,3884.5,A_up@11:29|B@12:28|C_down@13:23,3858.51
2023-03-13,a_held,long,09:56,call,3850.0,3875.0,11.899999999999999,12.55029999999988,2,12.81,10410.41,3822.9,3809.0,A_up@09:55,3862.5503
2023-03-16,a_held,long,10:50,call,3900.0,3925.0,10.6,25.0,2,287.8,10698.21,3880.0,3864.5,A_up@10:49,3960.9497
2023-03-17,a_held,short,10:28,put,3910.0,3885.0,6.199999999999999,0.0,5,-310.5,10387.71,3938.2,3928.5,A_down@10:27,3954.375
2023-03-21,a_held,short,10:32,put,3965.0,3940.0,4.199999999999999,0.0,7,-294.7,10093.01,3978.6,3974.0,A_down@10:31|B@15:01|C_up@15:47,4007.647
2023-04-05,a_held,short,10:51,put,4065.0,4040.0,3.3999999999999995,0.0,8,-272.8,9820.21,4081.8,4078.4,A_down@10:50,4091.4255
2023-04-13,a_held,long,10:23,call,4105.0,4130.0,13.9,25.0,2,221.8,10042.01,4094.3,4088.4,A_up@10:22,4148.4214
2023-04-17,a_held,short,11:46,put,4115.0,4090.0,2.85,0.0,10,-286.0,9756.01,4130.4,4123.4,A_down@11:45|B@15:08,4155.3813
2023-04-21,a_held,short,10:08,put,4110.0,4085.0,3.95,0.0,7,-277.2,9478.81,4121.7,4117.8,A_down@10:07|B@10:26,4133.559
2023-04-25,a_held,short,10:19,put,4095.0,4070.0,2.9,5.953399999999874,9,273.91,9752.72,4110.8,4108.0,A_down@10:18,4089.0466
2023-04-26,a_held,short,10:27,put,4050.0,4025.0,4.05,0.0,7,-284.2,9468.52,4070.8,4064.2,A_down@10:26|B@11:10,4061.914
2023-04-28,a_held,long,10:14,call,4140.0,4165.0,12.2,25.0,2,255.8,9724.32,4123.1,4119.1,A_up@10:13,4172.6567
2023-05-02,a_held,short,10:14,put,4120.0,4095.0,4.75,0.7573000000002139,6,-240.16,9484.15,4144.3,4139.8,A_down@10:13,4119.2427
2023-05-04,a_held,short,10:35,put,4045.0,4020.0,6.2,0.0,4,-248.4,9235.75,4071.3,4051.9,A_down@10:34,4056.5679
2023-05-12,a_held,short,10:10,put,4125.0,4100.0,5.15,4.690400000000409,5,-23.48,9212.27,4135.7,4132.1,A_down@10:09,4120.3096
2023-05-15,a_held,short,10:16,put,4105.0,4080.0,4.85,0.0,5,-243.0,8969.27,4121.6,4113.6,A_down@10:15|B@12:44|C_up@13:17,4138.5107
2023-05-24,a_held,short,10:13,put,4105.0,4080.0,6.35,0.0,4,-254.4,8714.87,4122.6,4117.7,A_down@10:12|B@15:31,4120.95
2023-05-26,a_held,long,10:27,call,4190.0,4215.0,9.799999999999999,21.104999999999563,2,225.9,8940.77,4172.45,4154.5,A_up@10:26,4211.105
2023-05-31,a_held,short,10:23,put,4170.0,4145.0,5.800000000000001,0.0,4,-232.4,8708.37,4188.05,4181.6,A_down@10:22|B@15:44,4182.5645
2023-06-01,a_held,long,10:49,call,4190.0,4215.0,10.05,25.0,2,298.8,9007.17,4178.7,4171.5,A_up@10:48,4225.6187
2023-06-08,a_held,long,11:04,call,4280.0,4305.0,7.300000000000001,12.58600000000024,3,158.28,9165.45,4270.6,4265.9,A_up@11:03,4292.586
2023-06-15,a_held,long,10:00,call,4385.0,4410.0,9.4,25.0,2,311.8,9477.25,4376.2,4363.5,A_up@09:59,4421.0815
2023-06-20,a_held,short,10:26,put,4355.0,4330.0,2.9000000000000004,0.0,9,-261.9,9215.35,4381.2,4373.2,A_down@10:25|B@13:20,4391.539
2023-06-22,a_held,long,10:20,call,4355.0,4380.0,15.600000000000001,25.0,1,93.9,9309.25,4342.9,4337.25,A_up@10:19,4384.1113
2023-06-27,a_held,long,11:45,call,4340.0,4365.0,15.799999999999999,25.0,1,91.9,9401.15,4331.3,4323.0,A_up@11:44,4380.647
